,Unnamed: 0,cond,id,project_slug,submit_second_after_start,content,authorID,idea_id,novelty_z,novelty_raw,value_z,value_raw,cluster_id,theme
529,659,idle,1279,timing_task2,290,Make your own invisible cloak.,HM190QDGFC,1279,0.872570257,5,0.13980504,3.6,0,camouflage in different settings/situations
944,1127,on-demand,1942,timing_task2,76,A tent that blends in with its sorouundings,S1K3XV0MSX,1942,0.588249029,5.75,0.994546676,6.5,0,camouflage in different settings/situations
1015,1208,idle,2023,timing_task2,902,"advertisements on shirtspersonalize your fabric designmake personalized blanketsdynamic car seat coversinvisibility cloakcolor changing wallpaperbright clothing for visibility at nightclothing art",HTCZL79YGS,2023,0.806798188,5.75,-0.20659549,4.25,0,camouflage in different settings/situations
59,59,idle,208,timing_task2,322,an indoor mural that can change,U8DDMY34XX,208,0.305996463,5.5,0.315045362,5.25,1,create novel ways for visual artists to express themselves and display their work
192,240,none,504,timing_task2,108,Use fabric in frames as a scrolling picture display like an electronic frame but larger and lighter.,SQDFFJT2I8,504,-0.671229437,4,-0.084693657,4.333333333,1,create novel ways for visual artists to express themselves and display their work
391,482,idle,803,timing_task2,721,"It would be great for making a canvas for artists that can then change based on how the artist programs it - different things appear at a different time of day, for example.",NQFLB0MWL3,803,0.582319119,5,0.190158372,4.5,1,create novel ways for visual artists to express themselves and display their work
568,704,on-interval,1330,timing_task2,160,Make pretty cool little pictures appear on a white surface,OZA8UIRJWO,1330,-0.613269247,4.5,-1.02843957,4,1,create novel ways for visual artists to express themselves and display their work
641,787,idle,1424,timing_task2,135,"Use it as a canvas for art, as it reacts to touch.",HXHFUV4333,1424,-0.176786084,4.75,0.083904973,4.5,1,create novel ways for visual artists to express themselves and display their work
1010,1203,on-interval,2018,timing_task2,368,Fabric posters that change display,SZXHO9VSM2,2018,-0.077676403,4.4,-0.180507668,4.6,1,create novel ways for visual artists to express themselves and display their work
1085,1278,on-interval,2123,timing_task2,168,use to project paintings in frames so you can change the art at whim,LCXOGGZCHI,2123,0.034576285,4,0.257247242,4,1,create novel ways for visual artists to express themselves and display their work
122,127,none,291,timing_task2,719,use it for people with speaking disabilities who cannot otherwise communicate easily.  They can load simple images or identifying information on a handkerchief.  Like Alzheimer's patients who get lost,RCYW4N6FT0,291,0.897517182,6,1.409974324,6.2,2,enhance human-to-human communication
784,939,idle,1628,timing_task2,826,Door mat that could leave messages for people at the door.,HM190QDGFC,1628,0.564902535,5,-0.048671787,4,2,enhance human-to-human communication
1126,1319,on-interval,2177,timing_task2,48,it can be used to do skype sessions so someone can feel and touch objects,O24JAU2QGX,2177,0.537661726,6.25,0.564012894,6.25,2,enhance human-to-human communication
1131,1324,on-interval,2187,timing_task2,189,It can be used by doctors in order to show patients and family members certain things,O24JAU2QGX,2187,0.19899508,5.2,0.360474766,5.4,2,enhance human-to-human communication
91,91,none,251,timing_task2,481,use them on a float for a parade to show whatever theme you are trying to represent during the event,RCYW4N6FT0,251,-0.737731718,3.25,0.42679783,5.5,3,enhance live show experiences
698,848,none,1499,timing_task2,398,"hot air balloon shows,",GQ5IGKLGG2,1499,-0.83264757,3.25,-0.939282359,3.5,3,enhance live show experiences
803,958,on-demand,1652,timing_task2,21,Use during fashion shows to highlight clothing on the models.,JCRLUADVRD,1652,-0.544080413,3.5,-1.132586538,2.25,3,enhance live show experiences
1086,1279,on-interval,2124,timing_task2,213,back drops for theater productions. This makes scenery easy to change from scene to scene,LCXOGGZCHI,2124,0.118329495,5,0.281500671,5,3,enhance live show experiences
294,370,none,654,timing_task2,612,towel.You can use it to display videos while taking shower or brushing your teeth.,ZFNIH5DEUU,654,0.269025812,5,-0.648774059,3,4,enhance the comfort or entertainment value of items in a household bathroom
653,800,idle,1443,timing_task2,774,A towel that is heat sensitive and adjusts its color otherwise.,IAGWJ82WVO,1443,0.442247723,5.5,-0.772921401,4.666666667,4,enhance the comfort or entertainment value of items in a household bathroom
303,390,on-interval,683,timing_task2,203,chef coats could display food images of the menu they offer. same for the waiters at a restaurant.,J4HUR1U52Z,683,0.026440051,4.4,-0.377041466,3.8,5,enhance the customer experience at restaurants
1092,1285,on-demand,2130,timing_task2,592,Interactive menus at restaurants - press to learn more about an item,NAGKMI1K05,2130,0.440509835,5,0.298188191,4.833333333,5,enhance the customer experience at restaurants
1103,1296,on-interval,2145,timing_task2,431,Menu boards for restaurants that can be changed or let people know when things are sold out,LCXOGGZCHI,2145,0.368641425,5.5,0.762074193,5.75,5,enhance the customer experience at restaurants
765,920,on-demand,1603,timing_task2,865,Interactive text books for students,T2R2UWE269,1603,0.067684538,4.2,0.156341664,4.2,6,enhance the educational experience of students inside and outside the classroom
863,1027,none,1754,timing_task2,48,You can use it for research with aquatic animals. And show them stimulating photos underwater,RPQ5IW0SRN,1754,0.800680077,5.4,-0.218755016,3.8,6,enhance the educational experience of students inside and outside the classroom
968,1158,none,1973,timing_task2,235,in the classroom make a giant interactive map,WZOGQFEBD0,1973,-0.036103716,5,0.276903256,5.5,6,enhance the educational experience of students inside and outside the classroom
1133,1326,on-interval,2189,timing_task2,223,It can be used in school as a way to show kids how different climates in different places might feel,O24JAU2QGX,2189,0.509827999,5.666666667,0.280695412,4.333333333,6,enhance the educational experience of students inside and outside the classroom
745,899,none,1575,timing_task2,759,replays at the sporting event,I5WLBOJAQB,1575,-0.156229478,4.75,0.104345335,4.666666667,7,enhance the player or audience experience at sporting events
1106,1299,idle,2148,timing_task2,484,Schools can use it as a scoreboard at games,7IZT2EBDR2,2148,-0.549463144,4.8,-0.14132588,4.6,7,enhance the player or audience experience at sporting events
346,437,on-interval,746,timing_task2,834,It will remind you about daily activities.,CCJEW6YB6K,746,-0.977690491,2.75,-0.232453638,3.75,8,increase productivity/efficiency in everyday life
416,515,on-demand,1066,timing_task2,24,work projekcts,CEI22M2JP3,1066,-1.857370516,1,-1.069597599,1.75,8,increase productivity/efficiency in everyday life
424,525,none,1083,timing_task2,42,keep reminders,I5WLBOJAQB,1083,-0.611589511,3.5,-0.1669313,3.833333333,8,increase productivity/efficiency in everyday life
592,733,on-interval,1363,timing_task2,130,WiFi connectivity which could be used to search google right through the clothing.,0WBTH5BSPO,1363,-0.090056878,4.666666667,0.126866874,5.666666667,8,increase productivity/efficiency in everyday life
755,910,none,1591,timing_task2,159,ability to write notes on clothes with touch sense,KORQRADEAV,1591,0.624602036,5,0.002162083,4,8,increase productivity/efficiency in everyday life
885,1054,on-demand,1810,timing_task2,228,clothing with smartphone technology in a display,B0BQF6WG91,1810,-0.760445629,2.666666667,-0.653439501,2.666666667,8,increase productivity/efficiency in everyday life
930,1109,idle,1921,timing_task2,175,"a shirt that you can load data into the sleeve on, in case you need notes about something later",ZKTC09FME5,1921,0.512748298,5.333333333,0.429534977,5,8,increase productivity/efficiency in everyday life
52,52,on-demand,200,timing_task2,329,fabric billboards with advertisements,V3PRPEJMGX,200,-1.164724655,2.6,-0.571299566,3.6,9,make and display more effective advertisements in stores and in the general public
238,290,on-interval,573,timing_task2,48,Create wearable advertisements where messages/brands on shirts/pants change periodically,MAFMO8LXTL,573,-0.056543576,4.25,0.028488043,4.75,9,make and display more effective advertisements in stores and in the general public
266,325,idle,608,timing_task2,611,Business ad sheet display. Used to advertise business info in front of shop.,CEI6EJ964I,608,0.009524048,5,0.622161346,5.8,9,make and display more effective advertisements in stores and in the general public
394,485,idle,806,timing_task2,887,Large advertising billboards that change based on time of day or day of the week in order to target different audiences.,NQFLB0MWL3,806,0.095695955,5.5,0.760207392,5.75,9,make and display more effective advertisements in stores and in the general public
450,560,on-demand,1143,timing_task2,125,Personalized billboards from companies that reflect changes in weather.,3TIJ05Y0TC,1143,-0.975455972,3,-0.035716296,4.666666667,9,make and display more effective advertisements in stores and in the general public
907,1083,idle,1874,timing_task2,18,use it as a billboard,ZKTC09FME5,1874,-0.670934713,3,-0.1180584,4.25,9,make and display more effective advertisements in stores and in the general public
977,1169,none,1984,timing_task2,300,can create interactive billboards or street signs,WZOGQFEBD0,1984,-0.451606322,4.25,0.067787878,5.333333333,9,make and display more effective advertisements in stores and in the general public
996,1189,on-interval,2004,timing_task2,251,Airplane draggable banner that can display anything,SZXHO9VSM2,2004,-0.598010021,3.4,-0.342030568,3.6,9,make and display more effective advertisements in stores and in the general public
101,101,on-demand,263,timing_task2,536,clothing for people who enjoy going to raves,5PKBVJJGBE,263,-0.068849142,4.5,-1.182557938,2.75,10,make clothing/wearables that are fun and add to entertainment experiences
288,363,none,646,timing_task2,537,"t-shirts with built in fabric display. It can be used at kids parties for fun.use it to display ads on street. Hire people who can wear it.. hats with display on the front. You can easily take it off and watch your favorite videofabric wristband with display attached to it. It'll look similar to a watch. You can wear it anytime and it'll be cheap because it's made out of fabric.towel.You can use it to display videos while taking shower or brushing your teeth.car seat cover. People in the back seat can watch movies carpet. You can change the display image and you have new carpet whenever you want",ZFNIH5DEUU,646,-0.217205651,5,0.6094215,6.333333333,10,make clothing/wearables that are fun and add to entertainment experiences
297,377,none,665,timing_task2,761,fabric glasses. You can wear it anytime and enjoy your movies or soothing images.,ZFNIH5DEUU,665,0.2364,4.4,-0.468527536,3,10,make clothing/wearables that are fun and add to entertainment experiences
609,752,on-interval,1383,timing_task2,465,Synchronization of clothing for public displays. [e.g. the opening ceremony of a grand event or for sports competitions.],395B0MW3HU,1383,-0.122211166,4.666666667,0.673943079,5.666666667,10,make clothing/wearables that are fun and add to entertainment experiences
671,821,on-demand,1467,timing_task2,615,Shirt shaped like a guitar perfect for strumming on the go.,3TIJ05Y0TC,1467,0.142585234,5.2,-0.241053195,4.6,10,make clothing/wearables that are fun and add to entertainment experiences
872,1037,on-interval,1770,timing_task2,61,More realistic Halloween costumers,EDAC7Y17Q7,1770,0.464355109,4.666666667,-0.426519022,3,10,make clothing/wearables that are fun and add to entertainment experiences
83,83,on-demand,243,timing_task2,475,Make bright vests that always glow for workers that work outside at night.,KX40MULF0O,243,0.332978496,5.75,1.129993495,6.75,11,"make clothing/wearables that enhance people's safety in different situations, activities, and work environments"
517,645,none,1264,timing_task2,273,light up children at night so parents can see them,I5WLBOJAQB,1264,0.433732331,5.2,0.294083837,5.6,11,"make clothing/wearables that enhance people's safety in different situations, activities, and work environments"
543,677,idle,1301,timing_task2,197,Something to identify your child if he/she is lost or kidnapped. Like an alarm that goes off if the child goes off of an expected route to school or something. The clothing starts lighting up and grabs the attention of others.,JPTTCMJXDO,1301,1.011797498,6.2,1.259047977,6.8,11,"make clothing/wearables that enhance people's safety in different situations, activities, and work environments"
763,918,on-interval,1600,timing_task2,796,"Emergency applications that will cause the fabric to blink bright, noticeable colors when the wearer is in distress.",395B0MW3HU,1600,0.921128615,5.4,1.247997406,5.8,11,"make clothing/wearables that enhance people's safety in different situations, activities, and work environments"
809,965,idle,1660,timing_task2,788,"Bike shorts that display a bright yellow line down the side. You could turn these on via wi-fi on your phone, and turn it off when you get to your destination.",D7RB1YZLAJ,1660,0.584860056,5.666666667,1.013768517,6.666666667,11,"make clothing/wearables that enhance people's safety in different situations, activities, and work environments"
837,995,idle,1703,timing_task2,504,This could be great for joggers or people that work in high traffic areas to increase their safety and visibility.,EZHE2KA84D,1703,0.31449662,4.6,0.413645677,5.6,11,"make clothing/wearables that enhance people's safety in different situations, activities, and work environments"
0,0,on-demand,139,timing_task2,20,project your favorite logo on your clothes,V3PRPEJMGX,139,-0.293345455,5,0.285785091,5.2,12,make clothing/wearables that help people express themselves
117,121,none,285,timing_task2,776,"Put it on a shirt and have ""image changing"" clothing.",HTCALN6RJ3,285,0.125879295,5.25,0.087589969,4.75,12,make clothing/wearables that help people express themselves
135,140,idle,308,timing_task2,220,you can have different colored shirts or pants very easily without needing to buy duplicates,3P13IFYMX5,308,0.318109817,4.666666667,0.21196356,5,12,make clothing/wearables that help people express themselves
163,170,idle,364,timing_task2,303,"Interchangeable Uniform (one outfit programmed for the division, FBI/SWAT etc without having to print different sets)",WFFNICSX11,364,0.027694274,4.5,0.38981653,4.75,12,make clothing/wearables that help people express themselves
166,173,on-interval,378,timing_task2,30,clothes that change color/pattern with emotion using the touch sensor,IDPV4M2BSN,378,0.598290026,6.5,-0.36723702,4.75,12,make clothing/wearables that help people express themselves
169,176,on-demand,385,timing_task2,765,"Sports clothes that can change through out the year, showing your support for your team as a season progresses.",9PS4EXNUBG,385,0.83560146,5.75,-0.306177532,3.75,12,make clothing/wearables that help people express themselves
223,275,idle,552,timing_task2,224,"Clothes that have interchangeable logos, etc.",CEI6EJ964I,552,-0.183989605,4.75,-0.239719556,4.25,12,make clothing/wearables that help people express themselves
281,350,on-demand,633,timing_task2,661,sports teams gear,U0W9XJN34H,633,-0.774241378,4,-0.757196215,3.6,12,make clothing/wearables that help people express themselves
457,569,on-interval,1159,timing_task2,311,"Put indicators of mood on clothing. If you don't want to be bothered, put something that indicates that.",TZJENAOG1L,1159,1.034283918,6,0.14257539,5,12,make clothing/wearables that help people express themselves
530,660,on-demand,1280,timing_task2,390,Use for people to design their own t-shirts.  People could create a design on a computer and then upload the image to the shirt.,ZK84NJY081,1280,-0.005959157,4.75,-0.348546997,4.25,12,make clothing/wearables that help people express themselves
550,685,idle,1310,timing_task2,245,a shirt that has a couple different patterns you can choose from to coordinate with your other clothes.,D7RB1YZLAJ,1310,-0.258771822,4.2,0.318686531,5.2,12,make clothing/wearables that help people express themselves
554,689,on-interval,1315,timing_task2,132,Ties that can change styles with the touch of a button.,I2RNV7NAJD,1315,0.83752209,6,0.336108941,5.333333333,12,make clothing/wearables that help people express themselves
570,706,on-interval,1332,timing_task2,82,"Wearable picture frames that change pictures the way digital frames do, except you can wear these.",0WBTH5BSPO,1332,-0.125642071,4.4,-0.633035267,4,12,make clothing/wearables that help people express themselves
597,738,on-interval,1369,timing_task2,372,You can create shirts with watches in the cuffs.,CQXL55FVWR,1369,-0.031344448,4,-0.314296444,3.25,12,make clothing/wearables that help people express themselves
773,928,none,1614,timing_task2,198,night light pajamas,KORQRADEAV,1614,0.366094541,5.4,-0.469453098,3.8,12,make clothing/wearables that help people express themselves
801,956,idle,1647,timing_task2,669,"Perfect clothes for a date, can change based on where you take your date and what's appropriate for the area.",KCYTRKJIJO,1647,0.026536563,5.2,-0.363651303,4.2,12,make clothing/wearables that help people express themselves
804,959,none,1653,timing_task2,529,"Since it is made out of fabric, this could one day be used as some sort of fashion item where images and videos are displayed onto a person's clothing.",DTI7W4V7GU,1653,0.352881418,5,-0.359456575,3.25,12,make clothing/wearables that help people express themselves
805,960,on-demand,1654,timing_task2,83,Being able to change the patterns on your clothing to match your mood throughout the day,1RAHK5RD6A,1654,0.100182442,4.75,-0.473190058,3.5,12,make clothing/wearables that help people express themselves
971,1161,on-interval,1976,timing_task2,686,Clothing that can be changed from casual to formal colors and patterns.,EDAC7Y17Q7,1976,0.39621909,4.8,-0.475998457,3.2,12,make clothing/wearables that help people express themselves
1029,1222,on-demand,2043,timing_task2,744,color changing clothes.  The clothes change color everytime they are touched,MC63178IOL,2043,0.056079824,5,-1.462836767,2.5,12,make clothing/wearables that help people express themselves
